year,treatment,varname,stdev,value,harvest,model
1999,control,AGB,22.70544585,68.19945449,may,Observed
1999,control,ANPP,1.8,3.19,may,Observed
1999,control,LAI,1.017731382,4.469176471,may,Observed
1999,control,NEP,0.4175,1.67,may,Observed
1999,control,NEPadj,0.4175,2.9,may,Observed
1999,control,NPP,2.106561179,6.54,may,Observed
2000,control,AGB,23.1814174,70.10616795,may,Observed
2000,control,ANPP,1.6,3.64,may,Observed
2000,control,LAI,1.300532678,4.556689558,may,Observed
2000,control,NEP,0.395,1.58,may,Observed
2000,control,NEPadj,0.395,2.81,may,Observed
2000,control,NPP,1.788127512,6.73,may,Observed
2001,control,AGB,23.65134115,71.83479791,may,Observed
2001,control,ANPP,1.56,3.78,may,Observed
2001,control,LAI,1.184237787,4.066769491,may,Observed
2001,control,NEP,0.2,0.8,may,Observed
2001,control,NEPadj,0.2,2.03,may,Observed
2001,control,NPP,1.81262241,7.01,may,Observed
2002,control,AGB,23.80901989,74.257681,may,Observed
2002,control,ANPP,1.58,3.2,may,Observed
2002,control,LAI,1.221713433,4.277866774,may,Observed
2002,control,NEP,0.43,1.72,may,Observed
2002,control,NEPadj,0.43,2.95,may,Observed
2002,control,NPP,1.763632615,6.07,may,Observed
2003,control,AGB,23.84091469,75.24866503,may,Observed
2003,control,ANPP,1.68,3.47,may,Observed
2003,control,LAI,0.999483643,4.443086011,may,Observed
2003,control,NEP,0.4425,1.77,may,Observed
2003,control,NEPadj,0.4425,3,may,Observed
2003,control,NPP,1.861612205,6.36,may,Observed
2004,control,AGB,24.297779,77.0438036,may,Observed
2004,control,ANPP,1.423060311,3.003661362,may,Observed
2004,control,LAI,1.077588094,3.950861783,may,Observed
2004,control,NEP,0.4125,1.65,may,Observed
2004,control,NEPadj,0.4125,2.88,may,Observed
2004,control,NPP,1.950446033,6.646001844,may,Observed
2005,control,AGB,24.69776376,78.56727668,may,Observed
2005,control,ANPP,1.287612572,2.717771061,may,Observed
2005,control,LAI,1.136752613,4.383825802,may,Observed
2005,control,NEP,0.4325,1.73,may,Observed
2005,control,NEPadj,0.4325,2.96,may,Observed
2005,control,NPP,1.850953408,6.30698802,may,Observed
2006,control,AGB,25.18648537,80.3650713,may,Observed
2006,control,ANPP,1.427582915,3.013207248,may,Observed
2006,control,LAI,1.154755362,4.127543824,may,Observed
2006,control,NEP,0.445,1.78,may,Observed
2006,control,NEPadj,0.445,3.01,may,Observed
2006,control,NPP,1.953768095,6.657321525,may,Observed
2006,disturbance,AGB,24.88,80.27,may,Observed
2006,disturbance,ANPP,,,may,Observed
2006,disturbance,LAI,,,may,Observed
2006,disturbance,NEP,,,may,Observed
2006,disturbance,NEPadj,,,may,Observed
2006,disturbance,NPP,,,may,Observed
2007,control,AGB,25.6277362,82.070675,may,Observed
2007,control,ANPP,1.356154556,2.86244301,may,Observed
2007,control,LAI,1.45401513,4.513432535,may,Observed
2007,control,NEP,0.302398167,2.593466267,may,Observed
2007,control,NEPadj,0.302398167,2.593466267,may,Observed
2007,control,NPP,1.901300663,6.4785426,may,Observed
2007,disturbance,AGB,25.35,81.82,may,Observed
2007,disturbance,ANPP,1.3,2.74,may,Observed
2007,disturbance,LAI,,,may,Observed
2007,disturbance,NEP,,,may,Observed
2007,disturbance,NEPadj,,,may,Observed
2007,disturbance,NPP,1.86,6.34,may,Observed
2008,control,AGB,26.05395735,83.66341964,may,Observed
2008,control,ANPP,1.317132335,2.78007859,may,Observed
2008,control,LAI,0.984478468,3.971212843,may,Observed
2008,control,NEP,0.340894847,3.3758,may,Observed
2008,control,NEPadj,0.340894847,3.3758,may,Observed
2008,control,NPP,1.872637038,6.3808734,may,Observed
2008,disturbance,AGB,25.79,52.89,may,Observed
2008,disturbance,ANPP,1.29,2.73,may,Observed
2008,disturbance,LAI,1.6,4.06,may,Observed
2008,disturbance,NEP,0.22,3.35,may,Observed
2008,disturbance,NEPadj,0.22,,may,Observed
2008,disturbance,NPP,1.85,6.32,may,Observed
2009,control,AGB,26.41440877,85.14927842,may,Observed
2009,control,ANPP,1.269284795,2.67908652,may,Observed
2009,control,LAI,0.968378727,4.371358155,may,Observed
2009,control,NEP,0.239309956,2.7884,may,Observed
2009,control,NEPadj,0.239309956,2.7884,may,Observed
2009,control,NPP,1.837490809,6.2611152,may,Observed
2009,disturbance,AGB,26.16,54.36,may,Observed
2009,disturbance,ANPP,1.26,2.66,may,Observed
2009,disturbance,LAI,1.49,3.79,may,Observed
2009,disturbance,NEP,0.19,3.05,may,Observed
2009,disturbance,NEPadj,0.19,,may,Observed
2009,disturbance,NPP,1.83,6.24,may,Observed
2010,control,AGB,26.68180543,86.37143258,may,Observed
2010,control,ANPP,1.134615199,2.39483865,may,Observed
2010,control,LAI,0.924707615,3.61771627,may,Observed
2010,control,NEP,0.34646539,1.7113,may,Observed
2010,control,NEPadj,0.34646539,1.7113,may,Observed
2010,control,NPP,1.738569766,5.924049,may,Observed
2010,disturbance,AGB,26.4,55.46,may,Observed
2010,disturbance,ANPP,1.08,2.28,may,Observed
2010,disturbance,LAI,0.81,2.28,may,Observed
2010,disturbance,NEP,0.25,2.28,may,Observed
2010,disturbance,NEPadj,0.25,,may,Observed
2010,disturbance,NPP,1.7,5.79,may,Observed
2011,control,AGB,26.93173906,89.82777904,may,Observed
2011,control,ANPP,1.253256108,2.64525468,may,Observed
2011,control,LAI,1.401201741,3.663000228,may,Observed
2011,control,NEP,0.359567895,3.1543,may,Observed
2011,control,NEPadj,0.359567895,3.1543,may,Observed
2011,control,NPP,1.825716997,6.2209968,may,Observed
2011,disturbance,AGB,27.03,58.28,may,Observed
2011,disturbance,ANPP,1.22,2.58,may,Observed
2011,disturbance,LAI,1.41,3.76,may,Observed
2011,disturbance,NEP,0.23,2.88,may,Observed
2011,disturbance,NEPadj,0.23,,may,Observed
2011,disturbance,NPP,1.8,6.15,may,Observed
2012,control,AGB,27.31627784,91.47996045,may,Observed
2012,control,ANPP,1.346184331,2.8413988,may,Observed
2012,control,LAI,1.49,4.01,may,Observed
2012,control,NEP,0.38557288,4.05,may,Observed
2012,control,NEPadj,0.38557288,3.3068,may,Observed
2012,control,NPP,1.893977072,6.453588,may,Observed
2012,disturbance,AGB,27.38,59.83,may,Observed
2012,disturbance,ANPP,1.3,2.74,may,Observed
2012,disturbance,LAI,1.1,3.75,may,Observed
2012,disturbance,NEP,0.39,3.07,may,Observed
2012,disturbance,NEPadj,0.39,,may,Observed
2012,disturbance,NPP,1.86,6.34,may,Observed
2006,control,GPP,,11.55,may,Observed
2007,control,GPP,,12.95,may,Observed
2008,control,GPP,,11.55,may,Observed
2009,control,GPP,,10.47,may,Observed
2010,control,GPP,,11.09,may,Observed
2011,control,GPP,,12.17,may,Observed
2012,control,GPP,,13.78,may,Observed
2006,control,ER,,8.18,may,Observed
2007,control,ER,,10.1,may,Observed
2008,control,ER,,8.18,may,Observed
2009,control,ER,,7.69,may,Observed
2010,control,ER,,9.38,may,Observed
2011,control,ER,,9.02,may,Observed
2012,control,ER,,9.73,may,Observed
2008,disturbance,GPP,,12.34,may,Observed
2009,disturbance,GPP,,11.44,may,Observed
2010,disturbance,GPP,,11.42,may,Observed
2011,disturbance,GPP,,11.19,may,Observed
2012,disturbance,GPP,,12.55,may,Observed
2008,disturbance,ER,,8.99,may,Observed
2009,disturbance,ER,,8.38,may,Observed
2010,disturbance,ER,,9.15,may,Observed
2011,disturbance,ER,,8.31,may,Observed
2012,disturbance,ER,,9.46,may,Observed
